Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,257.299988,259.000000,252.149994,253.100006,251.516846,1861473
2019-11-14,254.000000,254.750000,251.399994,252.750000,251.169022,2898206
2019-11-15,254.000000,254.199997,251.649994,252.550003,250.970276,1212917
2019-11-18,252.500000,252.500000,248.300003,249.449997,247.889664,2878437
2019-11-19,248.199997,251.149994,247.699997,250.399994,248.833725,2030656
2019-11-20,251.750000,251.750000,248.399994,248.899994,247.343109,1494149
2019-11-21,248.399994,249.500000,247.000000,247.550003,246.001572,1744098
2019-11-22,243.300003,245.649994,242.100006,243.100006,241.579391,4091556
2019-11-25,243.050003,243.800003,241.300003,243.000000,241.480026,1891197
2019-11-26,244.199997,244.600006,236.500000,237.550003,236.064117,7690402
2019-11-27,239.000000,240.899994,238.050003,240.050003,238.548477,1947247
2019-11-28,239.949997,240.500000,238.250000,239.800003,238.300034,1599370
2019-11-29,240.050003,241.199997,236.850006,237.699997,236.213165,2666961
2019-12-02,238.250000,239.699997,235.550003,238.600006,237.107544,3629960
2019-12-03,238.500000,238.500000,235.399994,236.800003,235.318802,2865185
2019-12-04,236.600006,242.750000,236.500000,242.199997,240.685028,3335966
2019-12-05,242.699997,244.899994,241.100006,243.699997,242.175629,2613145
2019-12-06,243.699997,244.500000,240.350006,241.000000,239.492538,1367558
2019-12-09,240.800003,241.649994,238.600006,240.399994,238.896271,1207295
2019-12-10,240.399994,240.399994,237.100006,238.149994,236.660355,2205613
2019-12-11,237.649994,240.800003,236.350006,240.050003,238.548477,2387660
2019-12-12,240.350006,241.250000,238.699997,239.449997,237.952225,1405948
2019-12-13,242.000000,244.850006,240.000000,243.850006,242.324707,4311833
2019-12-16,243.899994,246.399994,242.600006,243.149994,241.629074,2842577
2019-12-17,244.250000,245.949997,243.550003,244.750000,243.219086,2211379
2019-12-18,245.850006,249.899994,245.500000,248.300003,246.746872,5299107
2019-12-19,248.600006,250.649994,247.649994,249.199997,247.641235,2484211
2019-12-20,248.000000,253.800003,247.300003,251.800003,250.224976,5211626
2019-12-23,252.800003,254.699997,251.600006,253.850006,252.262161,1850652
2019-12-24,253.000000,253.949997,251.100006,252.250000,250.672150,1544480
2019-12-26,252.000000,252.399994,249.550003,250.300003,248.734360,2026434
2019-12-27,250.000000,250.750000,246.350006,247.550003,246.001572,2511120
2019-12-30,248.449997,249.550003,246.600006,248.949997,247.392807,2166807
2019-12-31,247.699997,248.600006,245.300003,245.800003,244.262512,2164914
2020-01-01,246.500000,248.649994,246.199997,247.699997,246.150620,1413866
2020-01-02,246.600006,249.899994,246.350006,248.300003,246.746872,1443966
2020-01-03,249.500000,252.699997,247.350006,251.100006,249.529358,3381404
2020-01-06,251.000000,254.449997,250.149994,252.149994,250.572784,4566695
2020-01-07,253.250000,256.350006,250.199997,255.199997,253.603699,4402787
2020-01-08,254.000000,256.149994,252.550003,254.800003,253.206207,2794410
2020-01-09,254.250000,256.500000,252.649994,253.649994,252.063385,2495023
2020-01-10,253.949997,255.199997,251.000000,251.750000,250.175293,2056577
2020-01-13,254.000000,257.899994,252.850006,254.800003,253.206207,6963599
2020-01-14,256.850006,258.350006,254.550003,257.200012,255.591217,7296777
2020-01-15,254.000000,256.000000,246.600006,248.250000,246.697174,10140451
2020-01-16,248.000000,252.600006,247.000000,250.449997,248.883423,8811836
2020-01-17,252.000000,253.899994,249.649994,251.100006,249.529358,4140818
2020-01-20,250.800003,250.800003,247.199997,248.000000,246.448746,1908583
2020-01-21,247.899994,248.199997,246.000000,247.100006,245.554367,1507942
2020-01-22,248.600006,251.949997,245.399994,245.850006,244.312195,3400424
2020-01-23,246.449997,249.100006,245.350006,248.699997,247.144363,1696544
2020-01-24,248.649994,249.449997,246.250000,247.600006,247.044601,1710777
2020-01-27,247.899994,247.899994,244.750000,245.350006,244.799652,1653497
2020-01-28,245.899994,246.100006,241.800003,244.050003,243.502563,2136181
2020-01-29,244.600006,247.399994,243.250000,246.750000,246.196503,2004689
2020-01-30,247.600006,247.600006,240.199997,240.699997,240.160065,2147465
2020-01-31,238.000000,239.149994,235.000000,236.800003,236.268829,5553638
2020-02-03,237.699997,240.149994,235.250000,237.399994,236.867462,4231830
2020-02-04,239.000000,241.250000,237.899994,240.250000,239.711075,3164756
2020-02-05,241.600006,243.000000,237.300003,242.250000,241.706589,3875603
2020-02-06,242.750000,245.949997,241.649994,243.649994,243.103455,3056198
2020-02-07,247.000000,247.000000,242.949997,243.949997,243.402771,2759512
2020-02-10,245.399994,245.649994,239.449997,240.899994,240.359619,2258996
2020-02-11,240.550003,242.899994,239.800003,241.250000,240.708832,2730310
2020-02-12,241.699997,247.149994,241.699997,244.449997,243.901657,3419400
2020-02-13,245.800003,245.800003,242.500000,243.750000,243.203232,2414955
2020-02-14,243.800003,245.350006,242.000000,242.899994,242.355133,1809793
2020-02-17,242.899994,245.000000,241.949997,243.800003,243.253113,1017778
2020-02-18,243.750000,244.850006,241.250000,244.050003,243.502563,1252637
2020-02-19,244.500000,248.350006,244.500000,247.600006,247.044601,1785384
2020-02-20,248.000000,248.550003,245.100006,245.699997,245.148849,2120807
2020-02-24,245.000000,247.800003,242.399994,244.199997,243.652222,3521975
2020-02-25,244.149994,246.649994,242.449997,244.100006,243.552444,2529786
2020-02-26,243.050003,243.449997,238.399994,239.899994,239.361862,3994194
2020-02-27,238.949997,238.949997,230.500000,231.600006,231.080490,4866814
2020-02-28,228.500000,229.500000,219.699997,221.449997,220.953247,5637309
2020-03-02,225.800003,227.000000,218.399994,220.800003,220.304718,5766175
2020-03-03,224.000000,225.800003,220.600006,223.699997,223.198196,5173113
2020-03-04,224.899994,229.750000,222.449997,228.850006,228.336655,4518178
2020-03-05,229.050003,233.899994,228.649994,229.699997,229.184738,2970778
2020-03-06,225.000000,226.000000,222.550003,223.550003,223.048538,2934283
2020-03-09,220.199997,221.000000,213.000000,214.399994,213.919067,8731114
2020-03-11,203.699997,214.399994,203.699997,213.100006,212.621994,6135166
2020-03-12,204.000000,206.949997,197.500000,199.100006,198.653397,5382005
2020-03-13,199.000000,204.449997,169.250000,197.399994,196.957199,6521598
2020-03-16,193.949997,193.949997,178.550003,179.750000,179.346786,5600574
2020-03-17,178.550003,185.550003,170.750000,173.100006,172.711716,6087687
2020-03-18,176.699997,178.500000,168.500000,169.949997,169.568771,6366599
2020-03-19,165.000000,171.350006,159.399994,162.350006,161.985825,5990086
2020-03-20,163.100006,185.800003,162.500000,179.199997,178.798019,10159745
2020-03-23,165.000000,177.000000,165.000000,170.149994,169.768326,5360393
2020-03-24,168.500000,181.750000,168.050003,176.350006,175.954422,6030781
2020-03-25,177.399994,188.000000,170.199997,174.649994,174.258224,6728146
2020-03-26,176.949997,186.800003,172.500000,182.600006,182.190399,5123845
2020-03-27,183.149994,189.500000,181.500000,183.500000,183.088379,6767560
2020-03-30,181.100006,187.399994,179.350006,184.149994,183.736923,3667402
2020-03-31,187.000000,199.800003,185.649994,196.699997,196.258774,5307626
2020-04-01,195.699997,195.699997,187.000000,189.500000,189.074921,4937834
2020-04-03,188.000000,189.600006,177.750000,180.000000,179.596237,6573737
2020-04-07,188.250000,192.699997,183.050003,191.899994,191.469528,4781431
2020-04-08,191.500000,200.000000,188.800003,192.899994,192.467285,5137654
2020-04-09,198.399994,202.949997,195.050003,196.699997,196.258774,3465173
2020-04-13,198.000000,198.000000,182.899994,189.199997,188.775589,6192188
2020-04-15,190.050003,193.600006,185.800003,186.550003,186.131546,11326003
2020-04-16,180.000000,189.750000,180.000000,187.850006,187.428635,21690423
2020-04-17,192.500000,193.750000,185.550003,187.000000,186.580536,6606447
2020-04-20,189.000000,189.000000,180.149994,181.100006,180.693771,8101513
2020-04-21,179.000000,179.899994,173.800003,178.050003,177.650604,9043309
2020-04-22,177.000000,179.500000,175.050003,178.550003,178.149490,5310949
2020-04-23,179.399994,182.600006,177.100006,180.899994,180.494202,5552230
2020-04-24,179.949997,180.800003,177.149994,177.750000,177.351273,4641139
2020-04-27,180.000000,182.899994,175.500000,182.050003,181.641632,9141625
2020-04-28,182.100006,182.949997,178.000000,179.699997,179.296906,6664917
2020-04-29,180.100006,182.449997,179.399994,180.649994,180.244766,5030291
2020-04-30,185.000000,192.600006,183.550003,190.949997,190.521667,8833927
2020-05-04,184.500000,191.300003,183.050003,190.050003,189.623688,8570370
2020-05-05,191.449997,194.000000,182.199997,184.199997,183.786804,6932389
2020-05-06,185.699997,188.000000,181.000000,187.050003,186.630417,5442790
2020-05-07,184.000000,185.399994,181.199997,184.100006,183.687042,5701069
2020-05-08,185.199997,186.000000,182.550003,184.000000,183.587265,4113672
2020-05-11,185.000000,189.949997,184.100006,184.699997,184.285690,4393833
2020-05-12,184.199997,188.000000,182.600006,187.050003,186.630417,3515409
2020-05-13,191.500000,191.500000,185.149994,189.699997,189.274475,5280484
2020-05-14,184.750000,187.350006,183.100006,186.000000,185.582779,5162197
2020-05-15,186.000000,186.000000,182.649994,183.800003,183.387711,3424515
2020-05-18,182.050003,185.000000,179.600006,182.199997,181.791290,7227243
2020-05-19,182.250000,186.000000,178.000000,184.399994,183.986359,5743334
2020-05-20,185.000000,185.899994,182.199997,184.949997,184.535126,7707853
2020-05-21,183.399994,191.699997,183.399994,189.100006,188.675827,7129115
2020-05-22,189.050003,190.850006,186.449997,189.000000,188.576050,4588826
2020-05-26,189.000000,193.199997,185.699997,188.800003,188.376495,5911134
2020-05-27,189.600006,205.500000,187.699997,201.250000,200.798569,18082968
2020-05-28,203.500000,203.500000,196.050003,199.350006,198.902832,12347623
2020-05-29,199.350006,214.899994,196.149994,212.800003,212.322662,30630211
2020-06-01,215.500000,221.000000,213.399994,215.050003,214.567612,13374624
2020-06-02,215.100006,218.550003,210.949997,215.850006,215.365814,6406277
2020-06-03,216.100006,217.449997,210.550003,211.350006,210.875916,8422101
2020-06-04,211.350006,219.949997,210.149994,216.250000,215.764923,7397468
2020-06-05,220.000000,220.250000,215.000000,218.750000,218.259308,7245584
2020-06-08,219.000000,227.300003,215.850006,226.449997,225.942032,12213696
2020-06-09,224.100006,226.300003,217.149994,218.350006,217.860214,7845252
2020-06-10,220.000000,221.050003,215.600006,217.000000,216.513229,7393646
2020-06-11,217.000000,217.649994,212.350006,212.899994,212.422424,6248745
2020-06-12,208.000000,209.500000,206.300003,207.899994,207.433640,6209344
2020-06-15,211.949997,217.899994,208.149994,213.800003,213.320419,14255725
2020-06-16,217.449997,217.899994,209.600006,212.399994,211.923553,7960856
2020-06-17,212.000000,218.750000,211.050003,217.800003,217.311447,13969454
2020-06-18,216.800003,219.300003,214.649994,218.149994,217.660645,6204213
2020-06-19,218.000000,224.100006,215.000000,222.050003,221.551910,11223677
2020-06-22,221.149994,221.750000,216.800003,218.050003,217.560883,6480903
2020-06-23,215.000000,222.300003,213.000000,220.600006,220.105164,7425149
2020-06-24,224.000000,224.000000,217.550003,218.199997,217.710541,8246086
2020-06-25,216.949997,222.000000,215.300003,218.199997,217.710541,5096846
2020-06-26,219.300003,230.000000,218.300003,225.449997,224.944275,19194506
2020-06-29,222.050003,225.899994,218.699997,219.699997,219.207169,6687074
2020-06-30,219.600006,221.949997,218.000000,219.649994,219.157288,5500693
2020-07-01,221.000000,222.399994,218.350006,219.050003,218.558640,3952617
2020-07-02,221.000000,225.449997,219.550003,224.199997,223.697083,7179941
2020-07-03,224.199997,228.500000,222.649994,224.800003,224.295746,5419456
2020-07-06,225.899994,227.250000,221.600006,222.649994,222.150558,7587814
2020-07-07,223.199997,228.399994,222.000000,224.899994,224.395508,9117569
2020-07-08,226.649994,227.699997,222.500000,223.100006,222.599564,7076184
2020-07-09,224.250000,224.600006,219.649994,221.600006,221.102921,6708998
2020-07-10,221.000000,223.449997,219.500000,222.100006,221.601807,4548759
2020-07-13,223.949997,229.000000,222.550003,227.600006,227.089462,12347310
2020-07-14,228.399994,231.699997,224.100006,225.000000,224.495285,13938567
2020-07-15,236.000000,268.700012,235.000000,262.750000,262.160614,130367588
2020-07-16,262.500000,268.450012,255.050003,261.899994,261.312500,52277927
2020-07-17,258.600006,263.850006,257.000000,261.350006,260.763763,18856512
2020-07-20,261.350006,273.549988,259.000000,270.799988,270.192535,21394990
2020-07-21,278.500000,281.600006,269.399994,271.350006,270.741333,32999050
2020-07-22,272.450012,272.850006,263.649994,266.000000,265.403320,12583854
2020-07-23,268.299988,268.450012,262.549988,266.600006,266.001984,10368328
2020-07-24,267.000000,271.799988,265.549988,270.549988,269.943115,22122123
2020-07-27,270.549988,273.200012,267.149994,268.850006,268.246918,13990247
2020-07-28,269.299988,276.750000,269.299988,275.450012,274.832123,14043807
2020-07-29,273.799988,278.000000,272.350006,277.000000,276.378632,10783639
2020-07-30,280.100006,286.799988,280.100006,284.100006,283.462738,25847295
2020-07-31,289.600006,290.799988,278.600006,280.950012,280.319794,16700660
2020-08-03,283.000000,284.799988,279.500000,281.549988,280.918427,8908763
2020-08-04,281.549988,283.350006,278.250000,281.049988,280.419556,8119521
2020-08-05,281.250000,284.450012,277.399994,278.200012,277.575958,7345453
2020-08-06,280.700012,284.250000,277.750000,279.649994,279.022705,10152605
2020-08-07,281.049988,281.850006,276.399994,277.399994,276.777740,7321200
2020-08-10,280.000000,281.200012,276.600006,277.399994,276.777740,6310746
2020-08-11,279.000000,284.649994,278.299988,279.649994,279.022705,10078908
2020-08-12,280.399994,280.700012,274.549988,276.200012,275.580444,8903667
2020-08-13,277.899994,281.850006,274.799988,277.000000,276.378632,9653956
2020-08-14,278.500000,280.750000,275.899994,276.500000,275.879761,6581711
2020-08-17,278.600006,286.399994,277.649994,281.950012,281.317566,14547004
2020-08-18,284.750000,287.399994,281.700012,282.700012,282.065857,12054207
2020-08-19,285.500000,285.950012,279.250000,279.750000,279.122467,9372521
2020-08-20,279.000000,279.000000,273.200012,274.200012,273.584930,9891765
2020-08-21,278.950012,278.950012,272.700012,273.350006,272.736847,7969636
2020-08-24,273.500000,274.450012,271.899994,272.700012,272.088287,6154814
2020-08-25,274.350006,274.700012,269.350006,269.950012,269.344482,7796138
2020-08-26,269.950012,274.700012,268.000000,272.049988,271.439728,9632667
2020-08-27,273.000000,275.200012,271.500000,272.350006,271.739075,6190168
2020-08-28,274.700012,275.000000,271.299988,272.049988,271.439728,7599784
2020-08-31,274.000000,282.000000,268.000000,271.299988,270.691406,20570967
2020-09-01,271.000000,279.399994,269.000000,271.600006,270.990753,12293053
2020-09-02,272.899994,276.500000,271.200012,273.700012,273.086060,8431905
2020-09-03,275.500000,287.850006,274.500000,282.850006,282.215515,24895165
2020-09-04,278.700012,279.500000,275.100006,276.000000,275.380890,10707714
2020-09-07,276.500000,279.500000,271.500000,278.750000,278.124725,8325767
2020-09-08,282.200012,286.950012,278.500000,282.549988,281.916168,22294861
2020-09-09,279.799988,289.450012,278.500000,282.850006,282.215515,22794360
2020-09-10,286.649994,286.850006,281.100006,284.549988,283.911682,9517902
2020-09-11,282.500000,298.450012,282.500000,293.299988,292.642059,41935926
2020-09-14,293.250000,308.549988,293.149994,307.200012,306.510925,38089542
2020-09-15,307.200012,311.250000,302.750000,307.350006,306.660583,28156312
2020-09-16,307.000000,313.500000,304.049988,312.149994,311.449799,14993487
2020-09-17,307.250000,316.700012,307.200012,311.700012,311.000824,26811652
2020-09-18,314.000000,319.000000,312.250000,316.500000,315.790039,18487731
2020-09-21,315.899994,324.500000,309.950012,311.899994,311.200348,22738846
2020-09-22,315.399994,316.750000,303.950012,312.250000,311.549561,23510334
2020-09-23,315.000000,321.799988,311.149994,314.850006,314.143738,22139436
2020-09-24,313.399994,313.399994,302.450012,304.700012,304.016510,17919151
2020-09-25,306.299988,315.250000,304.200012,313.899994,313.195862,22006895
2020-09-28,315.000000,317.000000,309.600006,311.549988,310.851135,12460762
2020-09-29,315.000000,318.549988,310.500000,311.500000,310.801270,14830369
2020-09-30,312.000000,315.850006,309.600006,313.549988,312.846649,12393317
2020-10-01,316.399994,317.850006,312.049988,313.049988,312.347778,9257309
2020-10-05,315.200012,336.000000,315.200012,333.950012,333.200897,38905631
2020-10-06,335.000000,335.299988,323.000000,330.049988,329.309631,27579924
2020-10-07,327.000000,336.549988,325.500000,335.299988,334.547852,17739958
2020-10-08,351.000000,367.750000,346.450012,359.450012,358.643707,107270246
2020-10-09,362.000000,376.100006,357.250000,374.000000,373.161072,55430752
2020-10-12,377.000000,379.799988,369.100006,377.500000,376.653198,52965959
2020-10-13,377.299988,381.700012,372.950012,375.950012,375.106689,36088143
2020-10-14,365.000000,365.000000,348.299988,350.450012,349.663910,74131951
2020-10-15,351.000000,354.250000,338.950012,341.600006,340.833740,38961179
2020-10-16,342.899994,348.100006,338.600006,339.649994,338.888092,25244229
2020-10-19,342.450012,346.500000,338.649994,343.200012,342.430145,12846874
2020-10-20,344.750000,349.500000,341.850006,346.750000,345.972198,16996774
2020-10-21,349.600006,350.100006,339.100006,343.450012,342.679596,9967461
2020-10-22,341.000000,348.200012,340.850006,344.450012,343.677368,9541248
2020-10-23,346.899994,347.100006,341.299988,342.399994,341.631927,8673048
2020-10-26,343.700012,344.899994,336.700012,339.799988,339.037750,8695169
2020-10-27,338.299988,339.750000,331.049988,334.049988,333.300659,9910578
2020-10-28,335.750000,339.850006,334.399994,335.649994,334.897064,8984589
2020-10-29,333.649994,340.000000,331.149994,337.450012,336.693054,7239961
2020-10-30,339.250000,345.000000,338.450012,340.700012,339.935760,11495534
2020-11-02,341.750000,341.750000,333.700012,334.799988,334.048981,4831133
2020-11-03,335.500000,339.450012,332.649994,335.649994,334.897064,4757798
2020-11-04,338.000000,351.549988,337.500000,342.950012,342.180725,15381900
2020-11-05,347.950012,349.000000,344.049988,345.399994,344.625214,5602436
2020-11-06,346.149994,349.000000,343.399994,345.750000,344.974426,5457793
2020-11-09,350.000000,352.799988,347.000000,351.950012,351.160522,7107285
2020-11-10,350.750000,350.750000,341.149994,342.299988,341.532166,9049620
2020-11-11,344.500000,347.750000,341.500000,346.750000,345.972198,7637879
2020-11-12,348.000000,350.700012,344.299988,345.549988,344.774872,5114424
2020-11-13,344.500000,346.250000,342.700012,344.149994,343.378021,4727888
2020-11-14,null,null,null,null,null,null
2020-11-17,347.000000,350.500000,343.700012,348.700012,347.917816,6653834
2020-11-18,349.750000,352.350006,341.799988,345.299988,344.525421,7407808
2020-11-19,347.700012,349.500000,341.600006,342.600006,341.831512,11056851
2020-11-20,343.799988,348.500000,342.049988,346.299988,345.523193,6181393
2020-11-23,348.000000,357.399994,346.000000,355.850006,355.051788,10333347
2020-11-24,359.000000,361.399994,355.000000,355.500000,354.702545,10092441
2020-11-25,357.899994,358.799988,349.549988,350.000000,349.214905,6812338
2020-11-26,351.000000,356.399994,347.200012,354.850006,354.054016,7366370
2020-11-27,354.850006,357.500000,347.850006,350.500000,349.713776,12402084
2020-12-01,352.700012,353.899994,346.250000,352.850006,352.058502,10693567
2020-12-02,354.450012,360.299988,354.200012,358.899994,358.094910,9434077
2020-12-03,364.000000,364.000000,358.000000,360.299988,359.491791,10697045
2020-12-04,361.100006,362.399994,359.000000,360.799988,359.990662,7427393
2020-12-07,362.000000,362.750000,357.500000,358.450012,357.645966,8392383
2020-12-08,360.299988,365.000000,358.399994,363.700012,362.884186,11813301
2020-12-09,367.750000,367.750000,357.500000,359.500000,358.693573,18137688
2020-12-10,356.200012,358.000000,352.750000,355.899994,355.101654,6897397
2020-12-11,357.399994,360.000000,352.649994,353.500000,352.707031,5863616
2020-12-14,353.500000,354.549988,347.100006,349.350006,348.566345,11501839
2020-12-15,349.299988,353.899994,347.500000,352.700012,351.908844,7231781
2020-12-16,353.899994,358.950012,353.200012,358.399994,357.596039,6666272
2020-12-17,358.399994,359.250000,355.500000,356.899994,356.099396,4165371
2020-12-18,358.950012,365.799988,357.500000,363.549988,362.734497,17398081
2020-12-21,362.500000,367.450012,348.350006,353.950012,353.156036,9665063
2020-12-22,354.000000,365.700012,349.450012,364.200012,363.383057,8186039
2020-12-23,374.000000,387.600006,371.700012,385.549988,384.685150,44874433
2020-12-24,386.450012,386.700012,378.649994,382.200012,381.342682,12240172
2020-12-28,383.450012,386.399994,382.000000,382.899994,382.041077,4725879
2020-12-29,384.000000,390.500000,383.100006,385.000000,384.136383,11459126
2020-12-30,385.000000,386.600006,382.799988,384.399994,383.537720,7188435
2020-12-31,381.200012,387.600006,381.200012,386.250000,385.383575,6394605
2021-01-01,385.049988,390.750000,385.049988,388.100006,387.229431,5042336
2021-01-04,390.000000,397.950012,387.799988,396.399994,395.510803,9755721
2021-01-05,394.100006,409.799988,393.500000,406.299988,405.388580,25156747
2021-01-06,405.000000,417.399994,403.299988,406.399994,405.488373,22486300
2021-01-07,412.250000,413.000000,403.850006,406.750000,405.837585,12344755
2021-01-08,407.500000,432.649994,407.250000,430.200012,429.235016,40993230
2021-01-11,436.000000,451.000000,435.000000,446.799988,445.797729,47334018
2021-01-12,447.950012,460.750000,442.399994,457.700012,456.673309,22134465
2021-01-13,461.000000,467.450012,452.799988,459.000000,457.970398,29190193
2021-01-14,452.000000,466.000000,430.000000,454.350006,453.330811,71551807
2021-01-15,454.750000,459.399994,436.600006,438.549988,437.566254,25307779
2021-01-18,441.000000,445.000000,429.100006,431.549988,430.581940,21510587
2021-01-19,433.000000,439.549988,427.700012,430.250000,429.284882,15677790
2021-01-20,434.000000,447.850006,433.000000,444.950012,443.951904,24419679
2021-01-21,451.600006,453.450012,442.299988,445.799988,444.799988,15911377
2021-01-22,447.450012,452.000000,440.450012,444.750000,444.750000,11398812
2021-01-25,445.149994,451.000000,435.149994,437.250000,437.250000,7380169
2021-01-27,438.000000,454.750000,437.250000,446.450012,446.450012,29590210
2021-01-28,443.250000,448.600006,427.299988,431.899994,431.899994,14812435
2021-01-29,437.399994,437.700012,415.549988,417.899994,417.899994,15632421
2021-02-01,416.100006,423.799988,408.200012,421.500000,421.500000,15081852
2021-02-02,428.000000,435.549988,423.649994,428.350006,428.350006,13310498
2021-02-03,430.200012,439.950012,430.200012,433.500000,433.500000,9897666
2021-02-04,433.500000,436.899994,428.250000,429.899994,429.899994,7193299
2021-02-05,432.000000,433.399994,420.549988,425.549988,425.549988,8679026
2021-02-08,430.350006,437.700012,426.299988,435.299988,435.299988,12516340
2021-02-09,440.250000,451.750000,435.200012,439.350006,439.350006,29474830
2021-02-10,442.000000,444.149994,435.000000,439.000000,439.000000,10607735
2021-02-11,439.000000,440.500000,433.399994,437.000000,437.000000,9237026
2021-02-12,440.000000,449.200012,439.600006,442.000000,442.000000,19280834
2021-02-15,444.600006,444.899994,436.799988,439.700012,439.700012,7844877
2021-02-16,446.000000,447.799988,433.799988,437.549988,437.549988,12453798
2021-02-17,435.899994,439.000000,428.500000,430.200012,430.200012,7390192
2021-02-18,430.299988,436.649994,429.350006,432.950012,432.950012,8385736
2021-02-19,433.149994,435.750000,426.100006,429.950012,429.950012,8478666
2021-02-22,430.700012,432.850006,416.000000,418.700012,418.700012,10666087
2021-02-23,419.700012,426.000000,414.299988,415.500000,415.500000,8992353
2021-02-24,417.700012,425.799988,414.750000,423.100006,423.100006,5060297
2021-02-25,423.100006,429.000000,420.450012,421.299988,421.299988,9110392
2021-02-26,417.950012,419.850006,408.000000,410.299988,410.299988,11731941
2021-03-01,411.000000,418.700012,409.200012,414.399994,414.399994,6421696
2021-03-02,419.700012,433.100006,418.250000,430.399994,430.399994,14875234
2021-03-03,433.000000,436.649994,428.250000,435.500000,435.500000,8782452
2021-03-04,428.899994,444.299988,427.500000,438.799988,438.799988,12963797
2021-03-05,440.000000,440.000000,417.000000,420.850006,420.850006,43931172
2021-03-08,425.100006,425.149994,415.549988,416.899994,416.899994,12354838
2021-03-09,419.799988,422.799988,410.049988,419.200012,419.200012,11905629
2021-03-10,426.100006,430.700012,423.000000,426.700012,426.700012,17291368
2021-03-12,431.500000,432.799988,422.100006,425.200012,425.200012,8960126
2021-03-15,424.799988,428.600006,417.799988,426.350006,426.350006,7517102
2021-03-16,427.250000,434.950012,425.649994,429.299988,429.299988,10673647
2021-03-17,429.000000,435.500000,417.700012,419.649994,419.649994,12134812
2021-03-18,423.250000,424.149994,404.299988,410.149994,410.149994,10082931
2021-03-19,408.950012,413.649994,399.450012,410.500000,410.500000,16875402
2021-03-22,411.049988,416.250000,410.200012,414.450012,414.450012,6622984
2021-03-23,417.700012,423.399994,412.700012,415.500000,415.500000,11575194
2021-03-24,411.350006,415.450012,409.200012,411.000000,411.000000,5140347
2021-03-25,410.700012,411.700012,397.750000,399.649994,399.649994,12737129
2021-03-26,404.799988,407.700012,400.649994,403.899994,403.899994,9033369
2021-03-30,405.000000,420.450012,405.000000,418.100006,418.100006,13169563
2021-03-31,419.799988,419.799988,413.350006,414.149994,414.149994,7445134
2021-04-01,418.850006,422.850006,414.350006,416.399994,416.399994,7596943
2021-04-05,416.450012,427.899994,416.200012,425.450012,425.450012,21216395
2021-04-06,427.950012,428.899994,422.350006,427.149994,427.149994,8320520
2021-04-07,425.000000,439.000000,423.399994,438.000000,438.000000,13867650
2021-04-08,441.950012,445.950012,440.000000,442.100006,442.100006,12916614
2021-04-09,442.899994,451.350006,440.000000,450.100006,450.100006,11699385
2021-04-12,450.000000,450.100006,429.399994,432.600006,432.600006,15086267
2021-04-13,432.000000,437.549988,412.600006,418.950012,418.950012,20420320
2021-04-15,418.899994,434.450012,415.000000,430.700012,430.700012,26758891
2021-04-16,441.700012,473.649994,436.000000,469.200012,469.200012,109361636
2021-04-19,463.000000,477.950012,461.100006,472.750000,472.750000,43809855
2021-04-20,476.000000,477.549988,467.799988,470.100006,470.100006,17730691
2021-04-22,471.600006,494.500000,471.600006,486.649994,486.649994,42620929
2021-04-23,483.549988,487.350006,474.350006,475.700012,475.700012,13596003
2021-04-26,479.399994,483.850006,477.000000,480.299988,480.299988,9314644
2021-04-27,481.399994,487.000000,481.000000,485.049988,485.049988,7209467
2021-04-28,485.850006,493.200012,481.250000,489.299988,489.299988,9615534
2021-04-29,492.700012,492.799988,485.700012,489.850006,489.850006,7641133
2021-04-30,491.500000,511.799988,489.299988,492.750000,492.750000,29115571
2021-05-03,487.950012,496.000000,483.250000,487.350006,487.350006,8599731
2021-05-04,487.299988,488.299988,477.799988,481.950012,481.950012,8102429
2021-05-05,484.799988,496.000000,483.299988,490.600006,490.600006,11856591
2021-05-06,493.700012,514.799988,487.250000,512.299988,512.299988,24413544
2021-05-07,514.000000,516.549988,507.500000,515.250000,515.250000,14666581
2021-05-10,517.599976,528.500000,513.250000,525.950012,525.950012,12544472
2021-05-11,517.950012,523.299988,514.049988,518.400024,518.400024,7649499
2021-05-12,519.950012,522.549988,504.850006,507.600006,507.600006,7871107
2021-05-14,507.500000,508.399994,492.750000,498.450012,498.450012,6799879
2021-05-17,498.450012,503.700012,495.000000,499.799988,499.799988,5752650
2021-05-18,502.000000,514.799988,500.899994,508.049988,508.049988,9380746
2021-05-19,508.299988,517.799988,505.149994,511.649994,511.649994,7490396
2021-05-20,516.000000,517.000000,503.600006,508.250000,508.250000,6292304
2021-05-21,510.000000,515.900024,509.149994,512.700012,512.700012,5197503
2021-05-24,511.899994,518.500000,509.649994,514.900024,514.900024,7436812
2021-05-25,517.400024,524.849976,515.700012,517.549988,517.549988,7954564
2021-05-26,514.900024,530.450012,514.750000,527.250000,527.250000,8823190
2021-05-27,527.250000,545.000000,525.049988,540.900024,540.900024,29411126
2021-05-28,539.000000,540.299988,532.650024,538.700012,538.700012,5878626
2021-05-31,538.700012,540.549988,531.049988,539.049988,539.049988,5386205
2021-06-01,541.900024,547.000000,539.650024,542.799988,542.799988,5965044
2021-06-02,541.950012,545.000000,533.000000,543.000000,543.000000,4713568
2021-06-03,545.700012,549.900024,538.299988,539.049988,539.049988,5637991
